Customer_ID,Outstanding_Debt_clean_mean,Outstanding_Debt_clean_std,Outstanding_Debt_clean_min,Outstanding_Debt_clean_max,Delay_from_due_date_clean_mean,Delay_from_due_date_clean_std,Delay_from_due_date_clean_min,Delay_from_due_date_clean_max,Num_of_Delayed_Payment_clean_mean,Num_of_Delayed_Payment_clean_std,Num_of_Delayed_Payment_clean_min,Num_of_Delayed_Payment_clean_max,Changed_Credit_Limit_clean_mean,Changed_Credit_Limit_clean_std,Changed_Credit_Limit_clean_min,Changed_Credit_Limit_clean_max,Num_Credit_Inquiries_clean_mean,Num_Credit_Inquiries_clean_std,Num_Credit_Inquiries_clean_min,Num_Credit_Inquiries_clean_max,Monthly_Balance_clean_mean,Monthly_Balance_clean_std,Monthly_Balance_clean_min,Monthly_Balance_clean_max
CUS_0x1000,1562.91,0.0,1562.91,1562.91,62.25,2.7645717829090897,57,67,25.0,1.6035674514745466,23.0,28.0,1.88,0.46291004988627577,1.63,2.63,10.875,0.35355339059327373,10.0,11.0,335.37534105529835,64.58702325334067,251.0779157891069,419.7651674292397
CUS_0x1009,202.68,0.0,202.68,202.68,7.25,2.187627547301936,3,10,17.875,0.8345229603962802,16.0,19.0,9.73,0.0,9.73,9.73,3.0,1.0690449676496976,2.0,4.0,428.74315500330647,55.10441750670408,335.4615535058126,508.01234122645366
CUS_0x100b,1030.2,0.0,1030.2,1030.2,13.5,3.0237157840738176,9,19,7.375,0.7440238091428449,7.0,9.0,10.965,1.0606601717798212,8.34,11.34,1.75,1.3887301496588271,1.0,4.0,781.22977629059,206.17060744602983,486.8950545079987,1020.6906522485216
CUS_0x1011,473.14,0.0,473.14,473.14,27.25,0.7071067811865477,27,29,14.625,1.5059406173077154,12.0,17.0,14.17,0.46291004988627565,13.42,14.42,7.0,0.0,7.0,7.0,332.64283749232266,191.61225102588497,126.45522835999878,576.2261427244848
CUS_0x1013,1233.51,0.0,1233.51,1233.51,12.5,1.4142135623730954,12,16,8.5,0.9258200997725515,7.0,9.0,1.705,1.0606601717798212,1.33,4.33,3.0,0.0,3.0,3.0,472.781008713433,181.49396178371083,106.70009764900976,659.0960563787355
CUS_0x1015,340.22,0.0,340.22,340.22,8.0,0.9258200997725514,6,9,9.125,0.35355339059327373,9.0,10.0,16.33,1.4142135623730951,15.83,19.83,7.75,2.3145502494313783,4.0,9.0,398.2177486791835,132.35338933065643,203.0065330223621,569.7273524039126
CUS_0x1018,2773.09,0.0,2773.09,2773.09,23.375,1.7677669529663689,19,24,21.75,0.7071067811865472,20.0,22.0,28.63,0.0,28.63,28.63,8.0,0.0,8.0,8.0,325.02641902405725,101.37352789607958,135.9577007568359,443.5083546887449
CUS_0x1026,849.69,0.0,849.69,849.69,0.0,0.0,0,0,2.25,1.164964745021435,1.0,5.0,0.73,0.0,0.73,0.73,3.0,0.0,3.0,3.0,1170.605580889061,113.77464165261765,1049.5498607490142,1306.8931693170946
CUS_0x102d,648.36,0.0,648.36,648.36,5.375,1.7677669529663689,1,6,5.25,0.7071067811865478,5.0,7.0,6.62,0.7071067811865479,6.37,8.370000000000001,3.0,0.0,3.0,3.0,573.1114378257755,176.88190883141826,335.74225840036837,828.3893305231529
CUS_0x102e,869.59,0.0,869.59,869.59,12.125,2.03100960115899,8,15,9.625,0.7440238091428452,8.0,10.0,3.1,1.414213562373095,2.6,6.6,4.0,0.0,4.0,4.0,473.9675840503482,40.53875563706492,420.3947421250945,540.1534312293159
